2013_February;morte;10
2013_February;saúde;7
2013_March;morte;27
2013_March;saúde;8
2013_May;saúde;1
2013_May;morte;4
2013_January;morte;15
2013_January;saúde;11
2013_April;morte;18
2013_April;saúde;10
2011_December;morte;11
2011_December;saúde;4
2012_September;morte;14
2012_September;saúde;2
2012_May;morte;19
2012_May;saúde;13
2012_October;morte;10
2012_October;saúde;2
2012_November;morte;11
2012_November;saúde;10
2012_February;morte;19
2012_February;saúde;1
2012_December;morte;15
2012_December;saúde;2
2012_July;morte;35
2012_July;saúde;11
2012_June;morte;22
2012_June;saúde;9
2012_March;morte;17
2012_March;saúde;3
2012_January;morte;17
2012_January;saúde;2
2012_April;morte;22
2012_April;saúde;9
2012_August;morte;24
2012_August;saúde;8
